NAME_0,NAME_1,NAME_2,ID_2,Mean_LST_001,Mean_LST_009,Mean_LST_017,Mean_LST_025,Mean_LST_033,Mean_LST_041,Mean_LST_049,Mean_LST_057,Mean_LST_065,Mean_LST_073,Mean_LST_081,Mean_LST_089,Mean_LST_097,Mean_LST_105,Mean_LST_113,Mean_LST_121,Mean_LST_129,Mean_LST_137,Mean_LST_145,Mean_LST_153,Mean_LST_161,Mean_LST_169,Mean_LST_177,Mean_LST_185,Mean_LST_193,Mean_LST_201,Mean_LST_209,Mean_LST_217,Mean_LST_225,Mean_LST_233,Mean_LST_241,Mean_LST_249,Mean_LST_257,Mean_LST_265,Mean_LST_273,Mean_LST_281,Mean_LST_289,Mean_LST_297,Mean_LST_305,Mean_LST_313,Mean_LST_321,Mean_LST_329,Mean_LST_337,Mean_LST_345,Mean_LST_353,Mean_LST_361
Uganda,Nebbi,Jonam,UGA.47.1_1,39.58101105,40.114435,40.35633815,42.78515718,43.11929482,44.30916737,43.30872557,43.87212404,44.9686746,45.45241291,42.65805438,42.83185217,43.50039932,41.69594732,40.58665251,40.8515633,39.21519966,38.63460493,37.87960068,39.17659303,37.51304163,35.99378929,35.89584537,36.825565,37.01135939,37.79117247,35.4948938,35.05047579,36.24330501,36.33319456,36.03987256,36.68918437,36.02026338,36.25254885,36.40921835,37.14957519,35.73414613,34.27783347,33.46913339,34.30393373,34.4688955,35.80592184,36.5093373,36.76123195,37.56731521,38.81628717
Uganda,Nebbi,Okoro,UGA.47.2_1,32.93706111,34.25263822,35.84959263,36.8600291,37.56920466,39.85500485,38.80039767,38.57471387,38.71907856,38.69201746,37.36831232,36.58726479,37.24809893,33.90842871,34.1114161,32.92848691,31.7042968,30.99618817,30.85483026,31.57011639,30.10610087,28.28656644,29.43810863,29.84796314,29.17616877,30.15872939,28.89475267,29.07611057,30.05742968,28.615742,28.77723569,28.92398642,31.00934045,30.22817653,30.31793404,31.27310378,29.03419011,29.15314258,29.01925315,30.1543453,29.81967992,29.92677983,30.28165858,31.84210475,31.37238603,32.77389913
Uganda,Nebbi,Padyere,UGA.47.3_1,38.1416263,38.71439446,39.37512111,41.46418685,42.1899654,43.4250173,43.11892734,43.16470588,44.29228374,45.31692042,42.85027682,42.25633218,42.83076125,40.68923875,39.92231834,39.69290657,38.7666436,38.92567474,37.68619377,38.16532872,36.64010381,35.13591696,35.38148789,35.93903114,36.31636678,36.63449827,34.11961938,35.03262976,35.14110727,34.86155709,33.93522491,34.57010381,34.92937716,35.35795848,35.44640138,36.68961938,34.47871972,32.6383391,33.08280277,33.71574394,33.55910035,34.25456747,34.5632872,35.86411765,36.1732526,36.85429066
Uganda,Ntungamo,Kajara,UGA.48.1_1,29.00293151,29.15361644,29.18353425,30.70386301,32.21947945,33.21367123,35.39443836,30.9110411,33.21383562,30.88671233,30.7119726,31.50841096,31.76830137,28.50632877,29.17021918,29.72320548,29.97531507,29.92309589,31.24830137,31.07115068,31.39323288,30.65564384,32.17526027,30.63936986,32.49427397,32.4550411,33.47668493,34.33191781,34.00232877,33.41832877,34.58906849,32.7679726,33.63416438,33.47871233,32.88435616,32.65208219,31.88610959,31.11980822,29.04342466,29.56024658,29.58852055,29.06786301,29.17564384,29.06468493,29.48342466,30.56632877
Uganda,Ntungamo,Ruhaama,UGA.48.2_1,31.70503205,30.92884615,31.71974359,32.79862179,34.23237179,35.81403846,36.51958333,33.54987179,34.92153846,33.46342949,31.31435897,32.76628205,32.06179487,29.59987179,30.03836538,30.52916667,29.58945513,31.51820513,32.58858974,32.58083333,32.23471154,32.15099359,33.04634615,32.22842949,33.20682692,33.24679487,34.27560897,35.55166667,34.89852564,35.42852564,36.36288462,35.37532051,35.95948718,36.17211538,35.89307692,34.89746795,34.36275641,32.61695513,30.92698718,30.42294872,30.68775641,30.58679487,29.83682692,30.47714744,30.48282051,32.52384615
Uganda,Ntungamo,Rushenyi,UGA.48.3_1,32.76710327,32.21722922,33.37277078,33.94057935,35.24370277,36.72423174,38.50901763,33.86241814,36.56808564,34.30410579,31.72692695,35.04813602,34.43246851,30.37156171,31.20836272,31.16838791,31.70717884,32.05367758,33.65216625,34.19853904,34.01677582,33.39921914,34.2286398,33.69143577,35.06969773,34.90924433,35.51503778,36.38667506,36.39768262,36.48647355,38.51662469,36.87390428,37.7356927,37.87579345,37.84030227,36.19161209,34.47299748,33.83528967,32.40632242,31.90748111,33.54758186,32.25513854,31.73604534,32.60118388,32.55256927,33.80405542
Uganda,Pader,Agago,UGA.49.1_1,44.70532747,43.59668622,44.22562072,44.89289345,45.62902248,45.19037146,45.58298143,46.58192571,47.1957087,47.54311828,46.88515152,46.6645259,45.4616129,46.21387097,38.16472141,38.06075269,34.52139785,34.98454545,32.73001955,34.28237537,34.76272727,31.06867058,31.22311828,31.43435973,31.33173998,30.08217986,30.33025415,32.16519062,32.20869013,31.99807429,31.70595308,31.65868035,32.18751711,33.41631476,33.8727566,32.91371457,34.4330303,33.34706745,33.40890518,34.43226784,36.43211144,37.85244379,42.6499609,42.35369501,44.52300098,43.00468231
Uganda,Pader,Aruu,UGA.49.2_1,45.35543423,42.79514982,43.88230066,44.55494667,45.71135094,44.6520518,43.83076181,44.63886745,45.67557643,45.61002031,45.99762824,45.38613002,44.99411376,41.00238192,36.17672423,35.38818182,32.94734891,32.07965973,30.94210767,32.34204672,33.31821737,29.93855256,29.85991366,31.22338751,29.95376841,29.80061453,30.14060437,31.46135602,31.16451498,31.52573388,30.42021838,31.01540376,30.41314881,32.61119858,32.14722702,31.6333418,33.13830879,31.58572372,31.96689182,32.41318944,33.91957847,36.45345353,40.46550025,42.68250381,45.20788725,43.40796851
Uganda,Pallisa,Budaka,UGA.50.1_1,42.3236,41.09206316,42.78637895,43.04574737,44.16069474,45.45682105,43.97736842,46.70574737,43.78583158,45.65126316,43.9804,41.8588,40.97926316,41.92983158,34.11336842,35.04743158,34.11858947,32.03223158,31.34115789,31.35298947,32.43576842,31.90650526,32.34629474,32.27446316,32.57374737,32.43795789,33.87446316,33.39122105,34.39037895,35.31791579,34.98187368,34.89530526,34.47138947,35.31783158,35.91016842,35.97564211,38.66861053,35.57728421,36.02376842,35.80722105,36.30115789,37.37475789,38.85863158,38.86111579,40.60381053,40.34094737
Uganda,Pallisa,Butebo,UGA.50.2_1,43.63139896,42.63186528,43.77015544,43.70352332,44.36512953,46.39849741,44.74533679,45.91974093,45.09507772,46.49818653,43.88186528,42.90678756,43.04751295,43.3126943,35.66823834,36.6546114,34.98792746,32.74590674,32.32088083,32.26834197,32.53331606,32.33108808,32.91108808,32.43362694,33.87606218,32.39165803,33.57326425,33.79948187,35.0765285,35.51559585,36.18455959,35.15658031,34.68818653,35.24357513,37.3365285,35.77248705,37.87792746,36.85067358,36.81450777,36.8726943,37.7273057,37.6065285,38.70414508,40.02523316,42.22108808,41.22590674
Uganda,Pallisa,Kibuku,UGA.50.3_1,39.79188811,39.59846154,40.68870629,40.7363986,41.2358042,43.54437063,40.84468531,42.99566434,43.0593007,44.1958042,41.70055944,38.4170979,38.4856993,38.1848951,32.69562937,34.42716783,36.49597902,30.46101399,30.14353147,30.43657343,30.66108392,30.4493007,30.95520979,31.29367133,31.21853147,31.63202797,33.08811189,32.26601399,32.85573427,34.13293706,33.54695804,34.02052448,33.37534965,34.2322028,33.8848951,34.97923077,36.72741259,33.72545455,33.92968531,33.85506993,35.57660839,36.24982517,38.35555944,36.68643357,38.50667832,38.45933566
