NAME_0,NAME_1,NAME_2,ID_2,Mean_NDVI_001,Mean_NDVI_017,Mean_NDVI_033,Mean_NDVI_049,Mean_NDVI_065,Mean_NDVI_081,Mean_NDVI_097,Mean_NDVI_113,Mean_NDVI_129,Mean_NDVI_145,Mean_NDVI_161,Mean_NDVI_177,Mean_NDVI_193,Mean_NDVI_209,Mean_NDVI_225,Mean_NDVI_241,Mean_NDVI_257,Mean_NDVI_273,Mean_NDVI_289,Mean_NDVI_305,Mean_NDVI_321,Mean_NDVI_337,Mean_NDVI_353
Uganda,Masaka,Bukoto,UGA.35.2_1,0.326481082,0.324109637,0.411122512,0.141025908,0.376208412,0.117185466,0.254150829,0.131166548,0.33608752,0.453537046,0.524864376,0.475530213,0.454836848,0.353696288,0.387034281,0.323619155,0.238433689,0.34215624,0.13165545,0.218702923,0.161314179,0.251137638,0.345076777
Uganda,Masaka,Kalungu,UGA.35.3_1,0.261401938,0.465292034,0.241487621,0.341765985,0.403973305,0.22376437,0.190925619,0.227527234,0.409604306,0.545402045,0.50447578,0.408639397,0.481696663,0.396006028,0.411565985,0.334290743,0.356380517,0.432842196,0.31954155,0.265930678,0.301170936,0.323085899,0.489401076
Uganda,Masaka,Masaka,UGA.35.4_1,0.035001852,0.297118519,0.438655556,0.172805556,0.238633333,0.094574074,0.254366667,0.10187037,0.178761111,0.363024074,0.533909259,0.428605556,0.4387,0.312988889,0.37947037,0.348851852,0.163388889,0.35535,0.068538889,0.148572222,0.18752037,0.2334,0.276192593
Uganda,Masindi,Bujenje,UGA.36.2_1,0.510796967,0.475349431,0.440025322,0.43081486,0.45347119,0.417579303,0.528474981,0.47825019,0.608820318,0.683758757,0.589559591,0.636505534,0.538354814,0.314083776,0.529382866,0.396559439,0.583238514,0.423166717,0.414211448,0.475672631,0.541067172,0.618602274,0.555127748
Uganda,Masindi,Bujenje (?),UGA.36.1_1,0.400795597,0.37214791,0.364300224,0.352942612,0.361018284,0.320439552,0.382529701,0.372364552,0.48143,0.553323134,0.503539478,0.514664851,0.430101119,0.33396806,0.495092761,0.405737015,0.506969701,0.396716418,0.464459478,0.479918806,0.469019701,0.50011306,0.404938358
Uganda,Masindi,Buruli,UGA.36.3_1,0.444326741,0.409304903,0.380926535,0.371720107,0.387238443,0.388098888,0.482849197,0.443525299,0.62506745,0.670594067,0.59663663,0.603567573,0.505032592,0.446508488,0.543372229,0.474564442,0.556871693,0.462873136,0.446503791,0.538434817,0.584383436,0.574833663,0.489082571
Uganda,Masindi,Kibanda,UGA.36.4_1,0.383420764,0.360575256,0.344886367,0.345447045,0.372200788,0.3895,0.421842868,0.451170961,0.666514894,0.706824113,0.614175177,0.651855398,0.611619622,0.55867037,0.628326123,0.521652994,0.617209496,0.55030197,0.590975729,0.561497006,0.630906383,0.573554768,0.42718223
Uganda,Mayuge,Bunya,UGA.37.1_1,0.441537939,0.399292901,0.422002214,0.348085954,0.409063435,0.403530687,0.474745573,0.526309771,0.551645267,0.602885496,0.54901855,0.545045191,0.484352214,0.446877939,0.483421603,0.44615084,0.468963969,0.460559084,0.487743511,0.471679618,0.554276412,0.478334656,0.486468779
Uganda,Mbale,Bubulo,UGA.38.1_1,0.413412286,0.360627143,0.456487571,0.339420429,0.3432,0.315068714,0.304243143,0.425383143,0.513067143,0.520468,0.532256571,0.527313286,0.512883857,0.448368,0.537603,0.489162571,0.501984,0.447284857,0.353218714,0.411356286,0.436645571,0.405688714,0.423962571
Uganda,Mbale,Bungokho,UGA.38.2_1,0.444306932,0.392037435,0.404797574,0.365218024,0.376695841,0.322719931,0.403833795,0.482796014,0.547588388,0.588615945,0.610137262,0.596980416,0.581416984,0.529088735,0.57482721,0.540247834,0.56675338,0.500053206,0.437124783,0.460477816,0.486337262,0.470960659,0.474233102
Uganda,Mbale,Manjiya,UGA.38.3_1,0.410558419,0.304985567,0.490860825,0.259287973,0.347920619,0.236028179,0.277480069,0.252302749,0.327390034,0.301307904,0.365511684,0.402387285,0.413369416,0.334637457,0.459872852,0.383967354,0.429117182,0.187362199,0.167424742,0.200101718,0.193517526,0.292572852,0.37532921
Uganda,Mbale,Mbale,UGA.38.4_1,0.361576667,0.353356667,0.34952,0.338273333,0.345376667,0.29584,0.373013333,0.411663333,0.52563,0.53791,0.538323333,0.54385,0.48352,0.479773333,0.492386667,0.46103,0.510686667,0.493423333,0.405603333,0.443176667,0.46529,0.43069,0.419176667
Uganda,Mbarara,Bukanga,UGA.39.1_1,0.375722302,0.065936691,0.279958937,0.122314555,0.34879109,0.117578694,0.181837687,0.257408135,0.387753182,0.413031157,0.448388323,0.389582678,0.353787161,0.326314001,0.299533149,0.277085224,0.294293968,0.249362535,0.156085445,0.251873271,0.284363973,0.302941339,0.380245988
Uganda,Mbarara,Ibanda,UGA.39.2_1,0.529214978,0.283210749,0.432413568,0.348231189,0.331738326,0.479856916,0.408562996,0.406209956,0.523338414,0.533183172,0.572879031,0.53778141,0.51055489,0.450725463,0.498796916,0.519319648,0.521150396,0.584378502,0.422291454,0.393533656,0.363161233,0.57117163,0.570607665
Uganda,Mbarara,Isingiro,UGA.39.3_1,0.442767525,0.119380091,0.37182165,0.175757986,0.339985617,0.237951552,0.251128766,0.29616215,0.440500606,0.487090992,0.488838607,0.430671991,0.415759576,0.388097426,0.37092271,0.354274111,0.354103028,0.322500076,0.17721779,0.294510068,0.26810159,0.345706435,0.3723243
Uganda,Mbarara,Kashari,UGA.39.4_1,0.462595313,0.151524342,0.324322039,0.16363347,0.215939474,0.265096875,0.326538816,0.293465625,0.414346711,0.530866118,0.502629276,0.440909539,0.409320559,0.401986842,0.414514556,0.405619326,0.409894819,0.456855757,0.281748766,0.235186431,0.386666694,0.319647615,0.453425987
Uganda,Mbarara,Kazo,UGA.39.5_1,0.488570773,0.355253039,0.424052928,0.359657403,0.308535028,0.438994365,0.43300221,0.326021602,0.559014199,0.595982597,0.512048564,0.46518232,0.433105635,0.383659613,0.435480884,0.467759171,0.504943481,0.510626077,0.473216243,0.361114807,0.463338729,0.532984199,0.551783757
Uganda,Mbarara,Mbarara,UGA.39.6_1,0.438164706,0.135288235,0.315405882,0.19037451,0.331994118,0.249345098,0.282017647,0.291417647,0.43492549,0.477547059,0.422794118,0.387429412,0.356794118,0.346603922,0.339247059,0.320878431,0.37345098,0.387911765,0.29517451,0.256943137,0.259186275,0.262323529,0.470998039
Uganda,Mbarara,Nyabushozi,UGA.39.7_1,0.427904517,0.171729405,0.34949711,0.15349147,0.245368378,0.277866723,0.342427946,0.264450421,0.477041414,0.458690264,0.457734147,0.400966077,0.356687963,0.332756453,0.353414478,0.355894276,0.38461518,0.418205191,0.291179714,0.290127385,0.318377918,0.447954461,0.46320679
Uganda,Mbarara,Rwampara,UGA.39.8_1,0.509011794,0.161986241,0.450167199,0.25524226,0.328771622,0.313404545,0.315174201,0.25495,0.398004054,0.493759091,0.551397052,0.505014619,0.481913391,0.456707371,0.431708968,0.431794472,0.434271622,0.342951843,0.180134644,0.273231572,0.21850258,0.34589828,0.486236855
Uganda,Moroto,Bokora,UGA.40.1_1,0.220283001,0.215046257,0.214760457,0.205157366,0.205761727,0.215026219,0.225405529,0.277737517,0.343385852,0.416098455,0.462820398,0.451897459,0.443229567,0.416829739,0.396850996,0.365967033,0.363515934,0.334504258,0.328422871,0.32643125,0.279777215,0.251314938,0.234217033
Uganda,Moroto,Matheniko,UGA.40.2_1,0.248574546,0.241689828,0.238883773,0.22855396,0.219810608,0.232207992,0.231375054,0.250729402,0.324021531,0.332309252,0.332962267,0.342257496,0.347574788,0.33201952,0.300599637,0.261051175,0.269622887,0.252857084,0.250256721,0.263485081,0.261950012,0.265235432,0.254863768
Uganda,Moroto,Moroto,UGA.40.3_1,0.26058,0.251,0.24852,0.23322,0.23426,0.25972,0.22874,0.12592,0.29952,0.31688,0.40224,0.36636,0.3316,0.38406,0.29594,0.26828,0.27842,0.28504,0.27956,0.28288,0.30006,0.27566,0.27038
Uganda,Moyo,Obongi,UGA.41.1_1,0.3234541,0.2867324,0.2687646,0.2462323,0.2690351,0.2964003,0.3289844,0.4197902,0.4675887,0.533836,0.5743602,0.5761599,0.5719411,0.5083763,0.6135772,0.600459,0.601046,0.555939,0.5944812,0.5965367,0.5252498,0.4465152,0.3618965
Uganda,Moyo,West Moyo,UGA.41.2_1,0.328091915,0.305066894,0.294315404,0.27342783,0.310875574,0.34847166,0.390587234,0.463469702,0.534415489,0.609375745,0.61124834,0.635347319,0.54453583,0.577886723,0.616258043,0.649213872,0.65199166,0.638207489,0.619133106,0.61685966,0.541199574,0.454225277,0.35949634
Uganda,Mpigi,Butambala,UGA.42.1_1,0.364770127,0.526621186,0.409591102,0.448996186,0.487859322,0.275638771,0.26511589,0.373306356,0.418549576,0.579904025,0.55867161,0.510954449,0.500714407,0.385198517,0.479073517,0.432784534,0.440417373,0.416286441,0.448295551,0.438906568,0.412792161,0.450818432,0.636177754
Uganda,Mpigi,Gomba,UGA.42.2_1,0.259459674,0.457300458,0.418430804,0.367802291,0.410191191,0.334839817,0.335993686,0.396193941,0.535518788,0.543300255,0.514419705,0.434712373,0.387194705,0.323147709,0.43069389,0.428742974,0.448546029,0.476079022,0.425758859,0.468298574,0.449529073,0.510202495,0.586598676
Uganda,Mpigi,Mawokota,UGA.42.3_1,0.346249684,0.485220098,0.395321012,0.42907428,0.436024807,0.307480112,0.278544062,0.31296142,0.467289037,0.539644062,0.536176107,0.501026915,0.51061293,0.405686999,0.404496627,0.408540408,0.363831272,0.372864301,0.373793465,0.335434364,0.34425123,0.323831272,0.559666058
Uganda,Mubende,Busujju,UGA.43.1_1,0.147843531,0.474858741,0.465610315,0.390071329,0.428225524,0.251191608,0.259263462,0.32119528,0.42055,0.510595455,0.509542832,0.468089685,0.413136538,0.35974965,0.42925035,0.394510315,0.42956049,0.384453497,0.345881469,0.510295455,0.410374301,0.42558549,0.589107692
Uganda,Mubende,Buwekula,UGA.43.2_1,0.356836338,0.427194705,0.446862969,0.411456098,0.402874976,0.393475292,0.40213139,0.369795903,0.586652379,0.634165774,0.587268263,0.5205318,0.461598014,0.365652852,0.467888245,0.468634604,0.508721084,0.482333943,0.365668011,0.453681532,0.423553167,0.592660006,0.554090009
Uganda,Mubende,Kassanda,UGA.43.3_1,0.207024384,0.428813447,0.423580099,0.390407799,0.413583281,0.38907983,0.429035903,0.416283371,0.577287808,0.607595114,0.568957508,0.501734603,0.440980636,0.386019095,0.460746347,0.445144688,0.460672658,0.487044823,0.427904975,0.466723442,0.57282788,0.586664904,0.573944599
